id,team_api_id,team_long_name,team_short_name
20513,8524,Atalanta,ATA
20514,8551,Siena,SIE
20515,8529,Cagliari,CAG
20516,8543,Lazio,LAZ
20517,8530,Catania,CAT
20518,10233,Genoa,GEN
20519,8533,Chievo Verona,CHI
20521,8535,Fiorentina,FIO
20522,9885,Juventus,JUV
20523,8564,Milan,ACM
20524,9857,Bologna,BOL
20525,8686,Roma,ROM
20526,9875,Napoli,NAP
20527,9882,Sampdoria,SAM
20528,8636,Inter,INT
20529,9804,Torino,TOR
20530,9888,Lecce,LEC
20531,8600,Udinese,UDI
20532,8540,Palermo,PAL
21285,8537,Livorno,LIV
21292,10167,Parma,PAR
22042,9880,Cesena,CES
22805,6269,Novara,NOV
23523,9878,Pescara,PES
24273,9876,Hellas Verona,VER
24288,7943,Sassuolo,SAS
25048,8534,Empoli,EMP